date,username,Lemma,Subjectivity,Polarity,Analysis
10/12/2022 0:00,rajaindotama,  rekaman cctv rizki billar melempar bola billiard ke lesti kejora namun aksi nya gagal karena rizky terpeleset kdrizkybillar banjir txtinjakarta,0.0,0.0,Netral
10/12/2022 0:00,fajaronline,  bukan sekali saja ini video bukti kdrizky billar saat lesti kejora sedang hamil kdlestikejora rizkybillar,0.0,0.0,Netral
10/12/2022 0:00,holopiscom,  kasus prank kdyang dilakukan baim wong dan paula verhoeven terus diikuti dengan buntut yang panjang kali ini pegawai baim wong yaitu supir dan kameramen diperiksa oleh polisi baimwong kd indonesia artis,0.0,0.0,Netral
10/11/2022 0:00,newsmerahputih,  menurut kasandra putranto psikolog dari ui menjelaskan bahwa kdpada umumnya terjadi akibat keinginan salah satu pasangan untuk mendapatkan kekuasaan dan kendali atas suami atau istri merahputihcom kdkesehatanmental worldmentalhealthday,0.0,0.0,Netral
10/11/2022 0:00,wahananewsdotco,  soal prank kdrt kameramen baim wong dicecar pertanyaan baimwong paulaverhoeven pemeriksaanbaimwong kdrt,0.0,0.0,Netral
10/11/2022 0:00,fajaronline,  rizky billar pernah mengontrak di apartemennya ii dahlia tak menyangka bisa kd kdlestikejora pasanganselebritis rizkybillar,0.0,0.0,Netral
10/11/2022 0:00,inewsbondowoso,  nasib rizky billar dalam kasus kdtinggal selangkah lagi begini kata polisi rizkybillar lestikejora kdcctv,0.0,0.0,Netral
10/11/2022 0:00,fajaronline,  rizky billar akan diperiksa lusa akp nurma dewi ungkap statusnya akpnurmadewi kdlestikejora rizkybillar,0.0,0.0,Netral
10/11/2022 0:00,denup_prmn,  viral curhatan close friend rizky billar bocor apakah ada kaitan dengan kdrt rizkybillar lestykejora leslar kdkdrtlesty closefriends infoviral denpasarupdate,0.0,0.0,Netral
10/11/2022 0:00,newsmerahputih,  dampak kdsering kali bertahan sangat lama apalagi anak adalah pihak yang pal rentan terdampak dari pengalaman traumati kdrt merahputihcom kdtrauma anak,0.0,0.0,Netral
10/11/2022 0:00,fajaronline,  deddy corbuzier mengaku tak suka kata dugaan kdrt kepada rizky billar tretan muslim padahal udah jelas closethedoor deddycorbuzier kdlestikejora,0.0,0.0,Netral
10/11/2022 0:00,radarsolo_,  polres metro jakarta selatan menjadwalkan ulang pemeriksaan terhadap rizky billar pada kami depan rizkybillar kdjemputpaksa lestibillar lestikd,0.0,0.0,Netral
10/11/2022 0:00,denkuhoki01,  kd beam face smile eye,0.1,0.3,Positive
10/11/2022 0:00,tribunkaltim,  ayu thalia bantah punya hubungan spesial dengan rizky billar terungkap awal kenal suami lesti kdselingkuh rizkybillar lesti lestikejora leslar leslarlovers ayuthalia lewat ribunkaltim,0.0,0.0,Netral
10/11/2022 0:00,inewsbondowoso,  tak peduli bangkrut hingga karirnya hancur rizky billar hanya ingin hidup bersama lesti kejora rizkybillar lesty kdkpi,0.0,0.0,Netral
10/11/2022 0:00,videotribun,  billar disebut kena mental pasca dilaporkan lesti kejora kini kepergok sukai video tak senonoh beritaterkini rizkybillar lestikejora taksenonoh kepergok kd klik selengkapnya gt gt,0.2,-0.1,Negative
10/11/2022 0:00,wahananewsdotco,  menteri ppa angkat bicara terkait kasus kdlesti kejora kdrt lestikejora ppa menteri,0.0,0.0,Netral
10/11/2022 0:00,inewsbondowoso,  akui kesalahan rizky billar sentil teman penghianat melalui fitur close friend rizkybilar lestykejora lestikdclosefriends kd,0.0,0.0,Netral
10/11/2022 0:00,rgobetofficial1,  angka keluar pasaran japan hari ini adalah result shio monyet selamat bagi pemenang jackpot kdrgobet togelterpercaya,0.0,0.0,Netral
10/11/2022 0:00,chatnews_id,  polisi telah menaikkan status kasus kdrizky billar pada lesti kejora dari penyelidikan ke penyidikan setelah memeriksa sejumlah saksi dan bukti kdrizkybillar,0.0,0.0,Netral
10/11/2022 0:00,fajaronline,  lesti kejora balikan rizky billar ii dahlia khawatirkan ini kdlestikejora rizkybillar,0.0,0.0,Netral
10/11/2022 0:00,fajaronline,  beredar cctv diduga lesti minggat dari rumah kondisinya bikin elus dada cctvrumahlesti kdlestikejora rizkybillar,0.0,0.0,Netral
10/11/2022 0:00,jh_situmorang,  sanksi bagi pelaku kdsecara fisik adalah pasal uu ri nomor tahun tentang kdrt jika mengakibatkan korban jatuh sakit atau luka berat maka pelaku dapat pidana penjara pal lama tahun atau denda pal banyak rp juta kdrt,0.0,0.0,Netral
10/11/2022 0:00,serambinews,  rizkybillar lestykejora kdrossa humas polres jaksel akp nurma dewi sebut lesti telah menjalani pemeriksaan tambahan sebut kondisi sing biduan sehat,0.0,0.0,Netral
10/11/2022 0:00,jajakdata,  seiring berkembangnya zaman kasus kdsemakin banyak penyebabnya yang pertama karena faktor ekonomi untuk mencegah dan menangani kasus kdini simak video berikut mengenai penyebab kdrt selengkapnya arrow lestikejora lesti lesty kdrt rizkybilar,0.0,0.0,Netral
10/11/2022 0:00,popularitascom,  kenali karakter pasangan sebelum menikah untuk cegah kd kdrt popularitascom,0.0,0.0,Netral
10/11/2022 0:00,videotribun,  muncul setelah dilaporkan oleh lesti kejora rizky billar ungkap curhatan soal kasus kddi ig nya lestykejora rizkybillar curhat kdberitaterkini selengkapnya gt,0.0,0.0,Netral
10/11/2022 0:00,radarsolo_,  kekerasan dalam rumah tangga kdrt umumnya terjadi karena keinginan salah satu atau kedua pasangan untuk mendapatkan mempertahankan kekuasaan dan kontrol atas suami atau istri kdpasangan suamiistri,0.0,0.0,Netral
10/11/2022 0:00,mediaumat,  sikap tegas selesaikan kdrt praktisi justru tak menyelesaikan persoalan kd,0.0,0.0,Netral
10/11/2022 0:00,rgobetofficial1,  angka pasaran sydney hari ini adalah result shio kambing selamat untuk pemenang jackpot kdrgobet togelterpercaya,0.0,0.0,Netral
10/11/2022 0:00,rezyrich,  etikcom sebuah pesan untuk rizky billar rizkybillar lestykejora leslarlovers kdrt,0.0,0.0,Netral
10/11/2022 0:00,matamilenialid,  curhatan rizky billar di close friend instagram bocor baca selengkapnya disini mataindonesia rizkybillar lestykejora kdrt kekerasan,0.0,0.0,Netral
10/11/2022 0:00,fajaronline,  kakak rizky billar sebut kdbukan kekerasan darah cinta laura langsung mendidih cintalaura kakakrizkybillar kdlestikejora,0.0,0.0,Netral
10/11/2022 0:00,tribunjambiku,  kejanggalan video rekaman cctv rumah lesti kejora dan rizky billar pakar telematika ada rekayasa via ribunjambiku lestikejora rizkybillar leslar kdrt,0.0,0.0,Netral
10/11/2022 0:00,nyatatabloid,  kasus kdlesti kejora dan rizky billar kemaren rame banget sampai bikin kondisi psikis billar nggak stabil hmm penasaran gimana sih nggak stabilnya via yatatabloid lestikejora kdrizkibillar,0.0,0.0,Netral
10/11/2022 0:00,wahananewsdotco,  sindir lesti kejora farhat abbas dapat suami ganteng tahu dirilah farhatabbas lestikejora kdrt rizkybillar,0.0,0.0,Netral
10/11/2022 0:00,seputarinews,  mangkir pada pemanggilan pertama rizky billar akan memenuhi panggilan polisi kami mendatang untuk diperiksa terkait dugaan kdterhadap istrinya lesti kejora yld seputarinews rcti rizkybillar lestykejora lestikejora artis artisindonesia kd,0.0,0.0,Netral
10/11/2022 0:00,wahananewsdotco,  bikin tepok jidat pengacara rizky billar ngadu ke presiden dan kapolri rizkybillar lawyer kdrt lestikejora,0.0,0.0,Netral
10/11/2022 0:00,rgobetofficial1,  angka pasaran cambodia hari ini adalah result shio kerbau selamat untuk pemenang jackpot kdrgobet togelterpercaya,0.0,0.0,Netral
10/11/2022 0:00,tribunlombokcom,  marissya icha membongkar instastory rizky billar yang di close friend billar sendiri baru saja dilaporkan lesti kejora atas dugaan kdrt rizkybillar lestikejora kdrt selingkuh marissyaicha leslar viral instagram lesti leslar billar,0.0,0.0,Netral
10/11/2022 0:00,maefez23,  saat kucing gw kaya lambe curah roll floor laugh roll floor laugh malah nongkrong ngerti kagak kena lempar centong iya kucoinsunday kucing fyp viral txtinjakarta bandunginlove kucingviral video viral jakarta aniesahy kd fyp,0.1,0.3,Positive
10/11/2022 0:00,jembernetwork,  viral rekaman video cctv lesti kejora pasca kasus kdrt akp nurma bukti hanya bisa dibuka pada saat persidangan lestikejora rizkybillar kd,0.0,0.0,Netral
10/11/2022 0:00,wahananewsdotco,  perselingkuhan rizky billar dibongkar kuasa hukumnya netizen salah pilih lawyer lestikejora kdrt rizkybillar penyanyi,0.0,0.0,Netral
10/11/2022 0:00,rezyrich,  kami warga suka keributan roll floor laugh akting syuting cast syutingfilm sinetron kdrusuh fight,0.1,0.3,Positive
10/11/2022 0:00,inilahbdgcom,  soal konten prank kdrt kameramen baim wong bakal diperiksa hari ini inilahbandung baimwong paulaverhoven cameraman prank kdinfo berita,0.0,0.0,Netral
10/11/2022 0:00,firmjf,  sehari sepasal selamat pagi sobat jf raise hand kami akan membagikan salah satu p dan p uu tahun tentang kddan hukuman pidana kdrt seharisepasal anakhukum kdrt mahasiswahukum hukum perdata kuhperdata lawfirm law jfln jflawfirm,0.0,0.0,Netral
10/11/2022 0:00,jagodangdutcom,  pengacara rizky billar ade erfil manurung kembali membuat heboh publik ade melontarkan ucapan negatif soal lesti kejora ia menyebut lesti ini bukan istri yang baik jagodangdut dangdut rizkybillar lestykejora leslar kdrt viral trending,0.0,0.0,Netral
10/11/2022 0:00,pusaransumut,  beredar video cctv dari rumah rizky billar yang memperlihatkan lesti kejora dan buah hati mereka baby l lestikejora kd,0.0,0.0,Netral
10/10/2022 0:00,tribunkaltim,  update kasus video prank kdbaim wong dan paula verhoeven polisi periksa dua kamerawan baimwong paulaverhoeven kdprankkd lewat ribunkaltim,0.0,0.0,Netral
10/10/2022 0:00,tribunkaltim,  update kasus video prank kdbaim wong dan paula verhoeven polisi periksa dua kamerawan baimwong paulaverhoeven kdprankkd lewat ribunkaltim,0.0,0.0,Netral
10/10/2022 0:00,banteneksposeid,  usut kasus kdrt sekuriti rumah rizky billar dan lesti kejora bakal diperiksa polisi besok lesti lestikdrizkybillar kdkdrtlesti,0.0,0.0,Netral
10/10/2022 0:00,wahananewsdotco,  kuasa hukum ungkap kehidupan rizky billar sebelum kenal lesti sangat pahit lestikejora kdrt rizkybillar penyanyi,0.0,0.0,Netral
10/10/2022 0:00,tribunkaltim,  kabar lesti dan rizky billar terbaru video cctv rumah leslar tersebar adegan yang dinilai janggal lesti lestikejora rizkybilar leslar leslarlovers kdcctv lewat ribunkaltim,0.0,0.0,Netral
10/10/2022 0:00,wahananewsdotco,  soal dugaan kdrizky billar penjaga rumah akan diperiksa besok kdrt rizkybillar lesti kasuskdrt,0.0,0.0,Netral
10/10/2022 0:00,racunshopee21,  pengacara rizky billar klarifikasi isu kdrt lesti kejora marah marah mulutnya ditutup supaya jangan ribut rizkybillar kdkekerasandalamrumahtangga lestikejora,0.0,0.0,Netral
10/10/2022 0:00,inewsbondowoso,  selain cinta rizky billar ogah ceraikan lesti kejora sampai kapanpun dengan alasan ini rizkibillar rizkybilar lestikejora kdrt,0.0,0.0,Netral
10/10/2022 0:00,inewsbondowoso,  sempat peringatkan lesti kejora netizen sebut ivan gunawan sudah tahu perilaku rizky billar kdrizkybilar lestikejora ivangunawan,0.0,0.0,Netral
10/10/2022 0:00,joeywarash,  lagi inget yang kdindahnyahubungan kdputin centaurus,0.0,0.0,Netral
10/10/2022 0:00,dialektikakng,  kasus kdlesti kejora sudah terima talak satu rizky billar jika berhubungan suami istri rujuk lagi lestikejora rizkybillar kdlesti billar lestikdtalak dangdutkoplo dangdutplus dangdut infobdg infoloker berita beritaviral viral,0.0,0.0,Netral
10/10/2022 0:00,inewsbondowoso,  bantah tuduhan kdlesti kejora kuasa hukum rizky billar berencana minta perlindungan rizkybillar kdlestikejora kuasahukum,0.0,0.0,Netral
10/10/2022 0:00,inewsbondowoso,  benarkan lesti kejora pergoki rizky billar selingkuh di hotel pria ini beber kronologinya rizkybillar kdlestikejora kuasahukum selingkuh,0.0,0.0,Netral
10/10/2022 0:00,tribunlombokcom,  pengacara rizky billar membantah dugaan kdkliennya ia menyebut billar sempat talak satu lesti kejora dan lakukan hubungan intim rizkybillar billar lesti leslar lestikejora kdrt selingkuh viral,0.0,0.0,Netral
10/10/2022 0:00,raidou_survivor,  inilah fakta terbaru soal kdyang melibatkan rizky billar dan lesti kejora benarkah rizky sudah ucapkan talak satu kepada lesti kdlestikdlestikdrizkybillar rizkybilar divorce domesticviolence domesticabuse,0.0,0.0,Netral
10/10/2022 0:00,inilahbdgcom,  klienya dipolisikan kdoleh lesti kejora kuasa hukum rizky billar ngadu ke presiden dan kapolri inilahbandung kdrizkybillar presiden kapolri info update kasus,0.0,0.0,Netral
10/10/2022 0:00,fajaronline,  pengacara rizky billar sebut lesti kejora bukan istri yang benar jangan mentang mentang punya uang adeerfil kdlestykejora pengacararizkybillar,0.0,0.0,Netral
10/10/2022 0:00,advokatmanado,  pasal uu tentang kd kepolisian wajib segera melakukan penyelidikan setelah mengetahui atau menerima laporan tentang terjadinya kekerasan dalam rumah tangga kdadvokatmanado pengacaramanado lawyermanado konsultanhukum konsultasihukum manado,0.0,0.0,Netral
10/10/2022 0:00,matamilenialid,  heboh beredar video cctv yang diduga usai kejadian kdrizky billar dan lesti kejora baca selengkapnya disini mataindonesia videocctv rizkybillar kdrt lestikejora,0.0,0.0,Netral
10/10/2022 0:00,jakartafeminist,  kita semua pasti setuju ya kdbukan bahan becandaan jadi yuk kita belajar isi uu penghapusan kd uupdkrt aja yaa biar bisa bagi ilmu bermanfaat,0.0,0.0,Netral
10/10/2022 0:00,fajaronline,  rizky billar bantah kdrt lesti kejora tegas ikuti semua proses hukum hukum kdlestikejora rizkybillar,0.0,0.0,Netral
10/10/2022 0:00,jajakdata,  dalam beberapa tahun terakhir masyarakat indonesia silih berganti mendengar berita kekerasan indonesia sendiri termasuk kedalam negara dengan jumlah kasus dan korban kekerasan tertinggi selengkapnya simak data pada infografik berikut kdlestykejora lesty rizkybillar,0.0,0.0,Netral
10/10/2022 0:00,inilahbdgcom,  beredar cctv diduga usai kdrt lesti kejora keluar rumah sambil gendong baby l hingga setir mobil sendiri inilahbandung lestikejora rizkybillar cctv dugaan kdinfo video viral,0.0,0.0,Netral
10/10/2022 0:00,leakspalopo,  ustad yusuf mansur minta lesti kejora beri rizky billar kesempatan kedua keliru harus dikasih kesempatan rizkybillar lestikejora kdyusufmansur kesehatanmental pamungkas videomarshanda,0.0,0.0,Netral
10/10/2022 0:00,tribunkaltim,  bisnis rizky billar hancur hingga alami rugi rp miliar imbas kasus kdlesti kejora tribunkaltim lestikejora rizkybillar kd lewat ribunkaltim,0.0,0.0,Netral
10/10/2022 0:00,requisitoire,  rizky billar makin tersudut lesti dapat dukungan nu di kasus kd reqnews lestikejora rizkybillar fatayatnu kdrt,0.0,0.0,Netral
10/10/2022 0:00,fajaronline,  kakak rizky billar panen hujatan sebut kdbumbu keharmonisan dalam berumahtangga bennysikumbang kakakrizkybillar kdlestikejora,0.0,0.0,Netral
10/10/2022 0:00,terkinidotid,  diduga sindir lesti kejora farhat abbas bicara soal suami ganteng farhat abbas kembali menjadi bahan perbincangan pengguna medium sosial lantaran ucapanya soal kaum wanita harus tahu diri jika hiburan farhatabbas farhatrizkybillarlestikejora kdrt,0.0,0.0,Netral
10/10/2022 0:00,azka_numam,  guyon terlucu bulan ini adalah ngikutin kdnya rizky billar dan lesti kdrt,0.0,0.0,Netral
